titulo,fecha,cuento
Un hombre llamado Douglas,11/4/03,"Anoche muy tarde suena el timbre. Qué raro, me digo, y pensando que era el Caio (que de borracho no le emboca a la llave) voy a abrir en camisón. Pero no era el Caio: de la oscuridad se me aparece un tipo. Yo nunca en la vida había visto a alguien tan elegante. 
«Disculpe hermosa dama —me dice con acento uruguayo—, ¿es aquí el negocio que expende alimentos italianos?». Yo me quedo media petrificada, por la voz y por esos ojos negros y profundos.
«Sí, pero está cerrada la pizzería, señor..., pásese mañana.» El buen hombre pone un pie en la puerta y me dice: «Precisamente, yo soy cocinero, el mejor chef de Montevideo, y estoy pasando un mal momento económico... ¿Usted no necesita...?». Y se queda así, mirándome, quieto.
«¿No necesito... el qué?», le digo con el corazón en la boca.
«Un cocinero, un amigo, un gourmet que le dé consejos y la anime...», me dice. Y yo, no sé por qué, a todo le hago que sí con la cabeza, como hipnotizada. «Pásese mañana —le digo— y hablamos de trabajo... ahora estoy en camisón».
El hombre entonces quita el pie de la puerta. «Aquí estaré, querida señora, y lamentaré no volver a verla tan ligera de indumentaria». Yo me quedo sin palabras otra vez, y lo veo irse. Le grito: «¿Cómo se llama, ey, usted?».
El hombre se da la vuelta y me mira otra vez a los ojos.
«Soy Salvático —me dice—; Douglas Salvático. Pero puedes llamarme El Tigre si lo deseas. Hasta mañana.»
Me meto adentro temblando como una adolescente. ¡Qué voz, qué ojos, qué caballero oriental! Enseguida lo llamé al Nacho para decirle que necesitamos un cocinero de verdad, porque el Américo será muy italiano pero de pizzas no entiende un carajo. Además está viejo y se nos puede morir cualquier día. «Douglas Salvático»... ¡Qué nombre tan seductor que tiene el nuevo empleado!
Hernán Casciari
4 noviembre, 2003"
Tenemos que ponerle más voluntad,11/5/03,"Antes de haber decidido tan alegremente poner la pizzería y vivir todos juntos, tendríamos que haber aprendido de las enseñanzas del «Gran Hermano». Hace solamente dos días que estamos en esta casa y ya hay grupos, dimes y diretes, camarillas, recelos y caras de orto...
Resumiendo: el Zacarías no se habla con su padre por culpa de ese problema antiguo del que no sabemos nada; el Caio y la Sofi se llevan a las patadas porque el Caio le quiere tocar las tetas para ver si son duras; yo le tengo mucha manía a la Negra Cabeza porque los paraguayos no son de fiar; la Sofi sigue con trompa por la paliza de su padre cuando la encontró media desnuda en la webcam; Nacho está angustiado porque Caio se toma la ginebra que está para la venta; la Negra Cabeza pretende que mi suegro no la manosee en público, y aunque le decimos que lo hace con todo el mundo, ella que no y que no; yo estoy escorchada con el Nacho porque le pone peros a la necesaria contratación urgente del simpático chef uruguayo; Sofi quiere aumento de sueldo o dice que no se pone más minifalda para atraer clientela; Caio y la Negra Cabeza se meten en el galponcito a contemporizar cuando hay clientes esperando, y a veces hasta se oyen los gritos del coito; el Nacho no soporta que la Sofi se pase dos horas hablando por teléfono con el Manija, porque dice que el negocio depende de que el teléfono esté desocupado...
Ay, Virgencita, yo no sé si esto va a funcionar como pensábamos. Además, cuando se da la casualidad de que estamos todos de buen humor y no hay peleas ni rencores, pasa lo de anoche, que nos pusimos los siete un rato a jugar al chinchón y cuando nos quisimos acordar eran las dos de la madrugada y nos habíamos olvidado de abrir. ¡Un día perdido, la puta madre! Hoy espero que estemos otra vez todos peleados, porque por lo menos así nos acordamos que tenemos trabajo. Si fuéramos chinos seguro que esto no nos pasa. Claro... Pero seríamos bajitos, amarillos y tendríamos olor. Ya a esta altura no sé qué es peor, si ser mercedino o ser amarillo.
Hernán Casciari
5 noviembre, 2003"
El mago,11/5/03,"Douglas nos acaba de dar una clase magistral sobre cómo se prepara la masa de una pizza para que, según sus palabras, «posea la dura coraza del pan francés, el corazón tierno de la galleta criolla y el alma alegre de la tarantela». 
¡Usa unas palabras este hombre, que se me acartonan las medibachas inmediatamente! Mientras nos enseñaba sus trucos, hacía malabarismos con el disco de la masa, la giraba con un dedo y hablaba, todo a la vez. La Sofi y yo teníamos la boca abierta y no podíamos dejar de sentir su perfume: el perfume inconfundible de los hombres de mundo. Los varones Bertotti, en cambio, dicen que Douglas es medio amanerado. Es la envidia, digo yo. ¡Cómo me va a costar esta noche meterme en la misma cama con el esquenún del Zacarías!
Hernán Casciari
5 noviembre, 2003"
El Zacarías está celoso,11/6/03,"Anoche el Zacarías se acostó chinchudo, me miraba de reojo y no me dirigía la palabra. Le pregunté qué le pasaba y me pone cara de carnero degollado:
—¿Qué me pasa? Que cuando está ese cocinero gilastrún movés el culo y te reís fuerte, eso me pasa —dicho lo cual me da la espalda en la cama.
Yo me aguanto la risa, pongo cara seria y le digo:
—¿Vos no estarás celoso, viejo, no?
Y no me responde. Al minuto empieza a hacerse el que ronca, pero yo me doy cuenta que está haciendo teatro, porque cuando hace teatro de que ronca, ronca despacio, y cuando ronca en serio es tan espamentoso que un día de un ronquido cambió de canal la tele.
—No te hagas el dormido, viejo: vos lo que estás es celoso —le digo medio riéndome.
Entonces se sienta en la cama con los ojos llorosos y me dice el antipiropo más lindo de toda mi vida:
—Vos a mí me importás una mierda, pero que te quede claro que sos la única mujer del mundo que me importa una mierda: ¡la única! Solamente yo tengo derecho a arruinarte la vida, ¿me entendés, pelotuda?
Lo abracé tan fuerte pero tan fuerte que no tuvimos más remedio que juntar los pelos como dos salvajes hasta altas horas de la noche.
Y después, en el post coito digamos, me hizo prometer que había que echar al Douglas de la pizzería.
Hernán Casciari
6 noviembre, 2003"
¡No son mi familia!,11/6/03,"Estuvimos toda la mañana, el Zacarías y yo, como en una especie de luna de miel. Nos fuimos tempranito en la motoneta a dar la vuelta al Parque Municipal y nos quedamos tomando mate con bizcochitos tirados en un mantel y hablando de la pizzería, de los chicos y de la mar en coche. Después lo dejé en la Municipalidad haciendo los trámites de la habilitación y me vine para casa.
Cuando entré en la pizzería había tanto humo que me pensé que se habían dejado prendido el horno, pero no. ¡Todo el mundo fumando porro estaban! Se ve que cuando no están los gatos padres, los ratones hijos y la rata paraguaya bailan. Lo primero que me salió fue del alma:
—¡Vos también Nacho, hijo mío!
La Sofi y el Caio no podían parar de reírse, y el Nacho y la Negra Cabeza estaban hablando por teléfono con los zapatos. Ni me hacían caso cuando les hablaba.
—¿Pueden parar un poco, endrogados? —les digo. El Caio me contesta:
—Somos todos detectives, y estamos esperando al Superagente 86.
Y otra vez todos cagándose de la risa y chupando el porro.
—¿Pero no se dan cuenta que puede aparecer el abuelo en cualquier momento? —les digo, espantada.
Y la Sofi me contesta:
—El abuelo es el Superagente, má, y está metido adentro del ropero.
En ese momento mi suegro saca un poquito la cabeza del ropero, con los ojos todos colorados, y dice:
—Non é un ropero, Noventanove, é il conno del chilenchio!
Hernán Casciari
6 noviembre, 2003"
Los grandes inventos son casualidades,11/11/03,"Anoche el Cantinflas se cayó en la olla grande de la salsa de tomate y no sabemos si casi se ahoga o si casi se quema. Mi suegro notaba —cuando revolvía— que el cucharón de madera se trababa un poco, pero no se dio cuenta de nada hasta que el gato, en un último manotazo de ahogado, sacó una pata y casi le arranca un ojo.
—¡Il tucco me ha arañatto! ¡L’estofado estáno poseítto! —gritaba don Américo, con un rasguño que le cruzaba propiamente toda la cara.
Entre el Zacarías y el Caio lo sacaron al Cantinflas con el colador de los fideos y lo llevaron urgente al veterinario, mientras que la Sofi y yo nos fuimos con el abuelo al hospital a que le pusieran puntos. Cuando llegaron el Nacho y la Negra Cabeza a abrir la pizzería no sabían nada de la tragedia y se pusieron a armar los pedidos de la noche, así que de casualidad inventamos una nueva especialidad en pizzas. Es bastante asquerosa de gusto, pero muy vistosa porque parece un felpudo redondo de esos que se ponen en la entrada. Ya la incorporamos al menú: se llama «la pizza welcome» y sale 5,30 pesos. A la vieja Monforte le mandamos dos pizzas welcome gratis y una cocacola. Para que no se piense que hay rencores.
Hernán Casciari
11 noviembre, 2003"
Nunca hay que hablar de más,11/12/03,"¡Ay, qué desastre! ¿Por dónde empiezo? El Nacho me pregunta hoy al mediodía si lo puede traer a trabajar a la pizzería a su novio. «Ahora que se fue Douglas, vamos a necesitar a alguien más», me dice, sin mirarme a los ojos.
Yo le digo: 
—¡Pero Nacho! ¿Y tu padre? Tu papá se muere si se entera que sos... 
Me tendría que haber mordido la lengua antes, porque por la mitad de la frase entra el Zacarías a la cocina, con un vaso de agua vacío y en pijama. Nos quedamos los tres como secos, inmóviles, mientras las palabras empiezan a rebotar por las paredes: «...tu papá se muere si se entera que sos... si se entera que sos... que sos... sos...». Cuando la frase deja de hacer eco, vemos que mi marido se empieza a poner blanco, y después flamea, y después se pone amarillo, igual que la bandera del Vaticano. Lo mira al Nacho con odio en los ojos:
—¿Qué sos vos? —dice—. ¿Vos qué sos, Ignacio?
—Soy diferente, papá —susurra el Nacho despacito.
—¿Diferente cómo? ¿Y por qué yo no me tengo que enterar?
—Viejo, no te pongas como loco —le digo—. El nene es...
—¡¡Vos calláte!! —me interrumpe el Zacarías—. Quiero que me lo diga él.
Ignacio se sienta en una silla y se pone a llorar como un chico. Ninguno de los tres nos damos cuenta que don Américo ha entrado a la cocina.
—¡Ío tengo tutta la culpa, figlio! —le dice mi suegro a mi marido—. ¡He sido ío il culpábile! El Nachitto é de Boca Juniors, non é de Racing... ¡¡Sempre ha sido de Boca, come el suo Nonno, come ío!! —y el abuelo se tapa la cara con las manos y se pone a llorar. Todos nos quedamos mirando a Zacarías, sin respirar.
—¿¿Mi padre y mi hijo mayor?? —dice el Zacarías—. ¿Los dos? ¿¿De Boca?? Esto es la debacle de los Bertotti —dice, y se va de la cocina mudo, herido, desinflado y pegando un portazo que tiró abajo tres cacerolas.
Cuando nos quedamos solos, don Américo saca un ojo por entre los dedos y nos mira. Se recompone y le dice al nieto:
—¿Así que sos putano, bambino? —y le acaricia la cabeza comprensivo—. ¿Y tu macho te méteno la pindonga a vó, o vó se la mandá a guardare a lui, eh? Perque si la meté vo non é tan grave la enfermetá...
Hernán Casciari
12 noviembre, 2003"
Las uñas del Zacarías,11/13/03,"Cada vez que el Zacarías se corta las uñas de las patas es que está sufriendo mucho. Debe ser su manera de canalizar. No le pasa muy seguido, por eso siempre usa zapatos dos números más grandes. 
Con uñas largas calza 43, y cuando sufre mucho vuelve al 41. En la primera época de Menem, que estábamos todos con trabajo, llegó a calzar 45: parecía un payaso, chiquitito y con zapatones gigantes. Cuando vino De la Rúa y empezaron a echar gente de Plastivida había tanta tensión en casa que un día le tuve que comprar unos mocasines 39. Hoy me lo encontré en el baño cortándose las uñas con una tenaza, y me figuro que es porque piensa que el hijo mayor le salió de Boca Juniors. Le digo:
—No sufras, viejo, lo importante no es que sea de Boca o de Racing, sino que sea feliz...
—¡No me vengás con frases de esos libritos que leés vos, mujer! —me dice—. Preferiría mil veces que tuviera cáncer o que fuera sordo, ¿pero bostero? ¿Nuestro hijo mayor, el único que parecía normal? ¿Cómo lo miro a los ojos yo ahora? ¿Cómo salgo a la calle?
 —No es para tanto —le digo, tanteando la situación—. Peor sería si fuera puto, ¿no cierto?
—¡La putez es una enfermedad, gorda! —me dice, sacando la lengua porque justo se estaba cortando la uña del dedo chiquito—. Puto se nace, cuando sos puto no hay tu tía: te gusta la poronga de chiquito y a la mierda... Pero ser bostero es una elección... ¡No me vas a comparar!
—¿Entonces preferirías que fuera puto, viejo?
—¿Bostero o puto? —me dice, y se queda pensando—. Son dos desgracias muy grandes... Es como si me dirías «¿mormón o testigo de Jehová?». Las dos cosas son una cagada. Además ya lo dice la canción sobre los bosteros: son todos bolivianos, son todos todos putos... Así que seguro es las dos cosas. ¡Lo único que falta es que ahora venga y nos diga que quiere ser boliviano!
—¡Ay, Zacarías, la boca se te haga a un lado! —digo yo, espantada—. ¡Con esas cosas no se juega!
Hernán Casciari
13 noviembre, 2003"
Los viejos rencores de Zacarías y su padre,11/16/03,"Mi marido y mi suegro siguen peleados entre ellos, y últimamente hay mucha tensión en casa. Yo no sé si están reviviendo sus broncas de antes o algo, pero en vez de hablarse se ladran, y cuando pasan uno al lado del otro ni se saludan. 
Un día yo escribí en este cuadernito que la pelea entre ellos viene de antes; yo la fui armando de a pedacitos, porque nunca nadie habló abiertamente del tema. ¿Les cuento?
En los años cincuenta don Américo era camionero. Vivía más en la Patagonia que en su casa. Doña Franchesca estaba enferma de celos y siempre pensó que el marido le metía los cuernos. Cuando Zacarías cumplió cinco años, lo sacó de la escuela y lo obligó a acompañar a su padre en sus viajes al Sur. Don Américo no se negó nunca a quitarle a su hijo los estudios porque en esa época era un pelotudo, igual que ahora pero más joven. La cosa es que en realidad mi suegro sí tenía una doble vida, y entonces al Zacarías se lo dejaba a otro camionero que hacía la ruta al Brasil. Resumiendo: mi marido se pasó siete años de su vida viajando a Ouro Preto con un desconocido que llevaba y traía soja, y ocultándoselo a la madre para cubrir a su papá.
¡Pobre santo de marido que tengo!
Hasta que un día que estaban los tres en casa, doña Franchesca le pregunta a su hijo:
—Diga bambino, ¿qué tal é la Patagonia, te piache?
Y el Zacarías, que tenía unos once años, le contesta: «Muito bonito, mamãe, e qué praias mais longas pra jogar fuchibol». Y entonces doña Franchesca, que ya intuía algo porque el Zacarías volvía a casa cada vez más tostado y a veces hasta con el pelo con motitas, le pidió el divorcio al marido y se mandó a mudar de la casa. Y al Zacarías desde ese día no lo quiso ni su madre (que a su hijo le decía «il cómplice») ni su padre (que le decía «il mascalzone pelotudo»). Por eso a veces mi marido es tan duro con su padre, y por eso también nunca va al cementerio a ponerle flores a doña Franchesca.
 Hernán Casciari
16 noviembre, 2003"
La vida real es muy triste,11/17/03,"No quiero hacer suspenso, corazones. Cuando no sabés cómo decir algo tenés que soltarlo y punto. Esta noche se murió José María, el novio del Nacho, y yo estoy que no puedo tenerme en pie. 
Sonó el teléfono a las tres y media de la mañana; Nacho estaba en la máquina conmigo, diseñándome unas cosas. Atendió Zacarías desde la cama y él mismo vino a avisar:
—Che, te acaba de llamar no sé quién, que se murió un amigo tuyo de la facultad.
El Nacho me miró primero a mí y después al padre, pero no preguntó «quién» ni nada. Solamente me dio la mano. Yo sí pregunté:
—¿Te dijeron quién?
Zacarías miró un papelito anotado:
—Un tal Scolcevich, ¿no es el chico ese medio morochito que venía a estudiar a casa el año pasado...? Se pegó un palo con la moto en la avenida Veintinueve.
Yo lo primero que hice fue abrazar a mi hijo. Fue un acto mecánico. Me importó un carajo que el Zacarías sospechara algo. El Nacho se puso a temblar y me apretó tan fuerte que yo pensé que me estaba ahorcando. Y después medio se desinfló y se puso a llorar a los gritos. No lo podíamos parar. Lloraba como una sirena de ambulancia. Y entonces el Zacarías lo empezó a mirar raro al hijo. Yo recé para que no dijera nada, pero mi marido es mandado a hacer para decir lo que no debe.
—¡Ehhh! —dijo medio riéndose—. ¡Ni que hubiera perdido Racing! ¿Qué era, tu hembra ese muchacho?
El Nacho ya estaba fuera de sí, pero la sorna del padre le debe haber descuajeringado los tornillos. Se levantó con la cara deformada de dolor y lo empujó al padre contra la pared:
—¡No, mi hembra no, papá! Mi macho es, hijo de una gran puta, ¡mi macho, la concha de tu madre!
Al Nacho todo eso le salió con la voz finita, aflautada como la de un canario; muy, pero muy de puto.
Y después de insultar al padre de arriba abajo se puso la campera y salió para la calle dando un portazo. El Zacarías se quedó quieto como una estatua. Lo único que hacía era mirarme, como preguntándome todo con los ojos.
Yo no decía nada.
—¿Cómo que el macho, Mirta? —me dice al rato, como un zombi—. ¿Será posible que yo siempre me entere último de las cosas?
Pero yo no le contestaba nada, y él cada vez se daba más manija. 
—¡Contestáme, Mirta! ¡Cómo que «el macho»! ¡¿Ese hijo de puta se lo coge a mi hijo?! ¡Yo lo mato a ese hijo de puta, lo mato!
—Viejo, vos no matás a nadie —le digo agarrándolo de los hombros—, ¿además no te das cuenta que el pobre chico ya está muerto?
—Claro..., está muerto... —me dice, como volviendo en sí—. ¿No ves que llego tarde a todos lados?
Hernán Casciari
17 noviembre, 2003"
